artist_names,track_name,duration,source,mode,time_signature,key,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,target
Lil Baby,Woah,3.0501833333333335,Quality Control/Motown Records,Major,4,11.0,0.883,0.599,0.248,0.0177,0.0,0.179,0.413,-5.551,142.976,0
"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,4.034933333333333,Aftermath Entertainment/Atlantic,Major,4,5.0,0.586,0.616,0.0324,0.182,0.0,0.0927,0.719,-7.964,148.088,1
Calum Scott,Dancing On My Own,4.3334,Capitol Records (US1A),Major,4,1.0,0.608,0.174,0.0332,0.851,1.92e-05,0.0855,0.193,-8.796,112.175,0
"R3HAB, A Touch Of Class",All Around The World (La La La),2.464,Virgin,Minor,4,9.0,0.733,0.859,0.033,0.479,0.0645,0.105,0.52,-5.03,124.948,0
Feid,Si Te La Encuentras Por Ahí,3.1928833333333335,UMLE - Latino,Minor,4,8.0,0.743,0.576,0.076,0.151,5.87e-05,0.128,0.455,-3.552,171.945,1
"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),3.25715,Internet Money Records / TenThousand Projects,Minor,4,1.0,0.799,0.66,0.079,0.256,0.0,0.111,0.471,-6.153,140.04,1
NewJeans,Cool With You,2.4646666666666666,ADOR,Minor,4,5.0,0.752,0.65,0.12,0.653,0.00136,0.105,0.532,-6.683,134.993,1
"Beyoncé, BEAM",ENERGY (feat. Beam),1.94545,Parkwood Entertainment/Columbia,Major,4,1.0,0.903,0.519,0.26,0.281,0.000106,0.155,0.587,-9.151,114.991,0
"Capital Bra, Samra",100k Cash,2.8892166666666665,Bra Musik,Major,4,10.0,0.701,0.714,0.524,0.289,0.0,0.0883,0.604,-5.906,86.91,0
Sabrina Carpenter,Skin,2.9583333333333335,Island Records,Major,4,7.0,0.557,0.457,0.0335,0.428,0.0,0.0567,0.328,-5.372,105.918,0
"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",2.6347833333333335,DALE PLAY Records,Minor,4,1.0,0.627,0.849,0.153,0.0913,0.0,0.145,0.818,-3.167,89.907,0
"Camila Cabello, Myke Towers, Tainy",Oh Na Na,3.394216666666667,Epic,Major,4,0.0,0.744,0.862,0.0622,0.0715,5.58e-06,0.0889,0.688,-3.446,115.021,0
Coldplay,Orphans,3.2922166666666666,Parlophone UK,Minor,4,11.0,0.503,0.808,0.0451,0.0258,0.00149,0.557,0.282,-5.051,107.973,0
"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever (feat. PnB Rock & Trippie Redd),2.5079166666666666,Bad Vibes Forever / EMPIRE,Major,4,8.0,0.8,0.526,0.0716,0.334,0.00174,0.0571,0.746,-5.153,129.874,0
Morgan Wallen,Everything I Love,3.11745,Big Loud Records / Mercury Records / Republic Records,Major,4,8.0,0.568,0.841,0.0261,0.00514,0.000503,0.147,0.668,-3.802,103.983,0
"Lana Del Rey, A$AP Rocky",Groupie Love (feat. A$AP Rocky),4.400633333333333,Polydor Records,Major,4,9.0,0.359,0.6,0.0398,0.113,1.32e-06,0.0952,0.195,-7.317,175.894,1
"BTS, Nicki Minaj",IDOL,4.337233333333334,BIGHIT MUSIC,Major,4,9.0,0.709,0.857,0.0881,0.00219,0.0,0.103,0.446,-3.394,126.038,0
Harry Styles,Treat People With Kindness,3.2891166666666667,Columbia,Major,4,5.0,0.653,0.869,0.0382,0.128,2.2e-05,0.046,0.697,-3.725,122.017,0
Drake,Drew A Picasso,4.379483333333333,OVO/Republic,Major,4,7.0,0.707,0.334,0.244,0.375,0.0,0.17,0.143,-12.792,127.944,0
Shawn Mendes,When You're Ready,2.82645,Island Records,Major,4,5.0,0.49,0.473,0.129,0.792,0.0,0.113,0.603,-8.887,171.535,1
Lana Del Rey,Say Yes To Heaven,3.4859333333333336,Polydor Records,Minor,4,6.0,0.497,0.359,0.0259,0.749,0.0923,0.117,0.179,-11.532,99.922,0
Tom Walker,Just You and I,2.9163833333333335,Relentless Records,Major,4,9.0,0.567,0.696,0.301,0.456,0.0,0.113,0.544,-5.416,92.061,0
