artist_names,track_name,duration,source,mode,time_signature,key,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,target
Kanye West,Praise God,3.77755,Rock The World/IDJ/Kanye LP7,Major,4,1.0,0.798,0.545,0.168,0.00904,9.48e-05,0.258,0.212,-6.466,118.029,0
Bring Me The Horizon,Can You Feel My Heart,3.80245,RCA Records Label,Minor,5,4.0,0.15,0.859,0.0595,0.00201,0.194,0.387,0.354,-2.827,170.527,1
"Maroon 5, SZA",What Lovers Do (feat. SZA),3.3308166666666668,Interscope Records*,Minor,4,5.0,0.799,0.597,0.0611,0.0788,5.66e-06,0.1,0.419,-5.131,110.001,0
Ariana Grande,everytime,2.86845,Republic Records,Minor,4,10.0,0.71,0.614,0.0431,0.186,0.0,0.0974,0.658,-6.757,148.152,1
NLE Choppa,SLUT ME OUT,2.0612166666666667,Warner Records,Minor,4,6.0,0.938,0.606,0.419,0.117,0.0,0.528,0.706,-6.396,121.108,0
"Calvin Harris, ScHoolboy Q, PARTYNEXTDOOR, DRAM, Funk Wav","Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)",3.9328833333333333,Columbia,Minor,4,4.0,0.722,0.79,0.241,0.152,0.0,0.0349,0.434,-4.867,94.965,0
"Rema, Selena Gomez",Calm Down (with Selena Gomez),3.9886333333333335,Mavin Records / Jonzing World,Major,4,11.0,0.801,0.806,0.0381,0.382,0.000669,0.114,0.802,-5.206,106.999,0
"DJ Snake, Lauv",A Different Way (with Lauv),3.3047666666666666,Geffen,Major,4,8.0,0.781,0.765,0.0385,0.534,0.0,0.152,0.564,-4.092,104.987,0
Juice WRLD,Lucid Dreams,3.9972666666666665,Juice WRLD Mixtape / ISR P&D,Minor,4,6.0,0.511,0.566,0.2,0.349,0.0,0.34,0.218,-7.23,83.903,0
Selena Gomez,My Mind & Me,2.45995,Interscope Records,Major,4,9.0,0.6,0.389,0.0337,0.566,0.0,0.0826,0.244,-5.727,143.577,1
"Selena Gomez, Gucci Mane",Fetish (feat. Gucci Mane),3.1018833333333333,Selena Gomez PS,Major,4,2.0,0.708,0.61,0.0574,0.0204,4.45e-06,0.0641,0.305,-4.522,123.038,0
Ariana Grande,pete davidson,1.2302166666666667,Republic Records,Major,4,4.0,0.652,0.31,0.0509,0.43,1.16e-05,0.182,0.304,-10.212,119.913,0
Naomi Scott,Speechless (Full),3.4800166666666668,Walt Disney Records,Minor,4,6.0,0.474,0.489,0.0342,0.467,0.0,0.119,0.23,-7.625,124.844,1
"Post Malone, DaBaby",Enemies (feat. DaBaby),3.279333333333333,Republic Records,Major,4,6.0,0.542,0.674,0.21,0.0588,0.0,0.0955,0.667,-4.169,76.388,0
"Jax Jones, Demi Lovato, Stefflon Don",Instruction (feat. Demi Lovato & Stefflon Don),2.7577833333333333,Polydor Records,Minor,4,4.0,0.767,0.934,0.195,0.104,0.0,0.0835,0.895,-3.057,121.069,0
"C. Tangana, Niño de Elche, La Húngara",Tú Me Dejaste De Querer,3.308333333333333,Sony Music Entertainment,Minor,4,4.0,0.812,0.747,0.15,0.31,0.00412,0.1,0.488,-4.611,168.025,1
"StaySolidRocky, Lil Uzi Vert",Party Girl (Remix),2.4612166666666666,Columbia,Minor,4,6.0,0.752,0.375,0.204,0.533,0.0,0.175,0.591,-10.157,129.995,0
Juice WRLD,All Girls Are The Same,2.7636666666666665,Juice WRLD Mixtape / ISR P&D,Major,4,0.0,0.671,0.529,0.307,0.0769,0.000335,0.0856,0.203,-7.226,161.989,1
"Liam Payne, J Balvin",Familiar,3.2758666666666665,Capitol Records UK / EMI,Major,4,9.0,0.636,0.805,0.327,0.0161,0.0,0.0793,0.908,-4.594,92.958,0
Lil Wayne,Dedicate,3.16515,"Young Money Records, Inc.",Major,4,2.0,0.879,0.662,0.309,0.033,0.0,0.716,0.724,-6.162,117.975,0
"Metro Boomin, John Legend",On Time (with John Legend),2.8153333333333332,Republic Records,Minor,4,5.0,0.364,0.62,0.0555,0.736,0.00225,0.429,0.491,-6.638,79.904,0
Little Mix,Shout Out to My Ex,4.104,Syco Music,Major,4,0.0,0.774,0.739,0.0952,0.0316,5.95e-06,0.119,0.823,-4.022,126.002,0
Britney Spears,My Only Wish (This Year),4.256666666666667,Jive,Major,4,0.0,0.669,0.843,0.0268,0.169,0.0,0.195,0.702,-3.766,147.08,1
"David Guetta, Bebe Rexha, J Balvin",Say My Name,3.3157833333333335,Parlophone (France),Minor,4,10.0,0.703,0.66,0.123,0.137,0.0,0.192,0.79,-5.119,95.031,0
Ed Sheeran,Leave Your Life,3.731116666666667,Atlantic Records UK,Major,4,2.0,0.578,0.558,0.0872,0.236,0.0,0.143,0.54,-5.438,75.087,0
"Kendrick Lamar, Baby Keem, Sam Dew",Savior,3.7411,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,Major,5,8.0,0.605,0.692,0.446,0.495,0.0,0.303,0.685,-7.45,124.84,1
Juice WRLD,Anxiety - Intro,1.17325,Grade A Productions/Interscope Records,Minor,4,11.0,0.307,0.528,0.108,0.972,0.00056,0.222,0.58,-11.337,174.795,1
Drake,From Florida With Love,3.91305,OVO,Minor,4,6.0,0.787,0.477,0.199,0.768,0.0,0.104,0.476,-7.837,80.506,0
Lil Mabu,MATHEMATICAL DISRESPECT,1.4717333333333333,Lil Mabu,Major,4,1.0,0.795,0.507,0.303,0.0612,0.0,0.272,0.48,-8.06,146.771,1
"Luísa Sonza, Pabllo Vittar, Anitta",MODO TURBO,2.5043333333333333,Universal Music Ltda.,Minor,4,10.0,0.655,0.726,0.0796,0.334,3.13e-06,0.232,0.766,-7.628,160.064,1
Queen,Radio Ga Ga - Live Aid,4.094666666666667,EMI,Major,4,5.0,0.406,0.934,0.0845,0.0138,0.0,0.955,0.395,-6.668,118.823,1
"Jaani, B Praak",Saari Duniya Jalaa Denge,3.0391333333333335,T-Series,Major,4,0.0,0.515,0.475,0.0351,0.782,0.0,0.164,0.674,-9.661,81.835,0
Morgan Wallen,7 Summers,3.50205,Big Loud / Republic,Major,4,0.0,0.625,0.775,0.0248,0.431,5.23e-05,0.12,0.588,-5.199,101.961,0
"Major Lazer, Khalid, Death Stranding: Timefall, Diplo",Trigger,2.86645,"Right Hand Music Group, LLC/RCA Records",Major,4,8.0,0.57,0.585,0.251,0.128,0.000105,0.111,0.378,-7.041,97.285,0
Adele,Chasing Pavements,3.50845,XL Recordings,Minor,4,5.0,0.616,0.47,0.0253,0.291,0.0,0.111,0.325,-6.092,80.03,0
Moon Taxi,Two High,3.5537666666666667,RCA Records Label,Minor,4,11.0,0.65,0.765,0.0464,0.0933,0.00457,0.119,0.475,-4.603,107.015,0
Julia Michaels,Uh Huh,2.964,J/Republic,Major,4,4.0,0.764,0.672,0.184,0.136,4.84e-05,0.0764,0.528,-4.924,137.948,1
21 Savage,out for the night,2.2872,"Slaughter Gang, LLC/Epic Records",Major,4,9.0,0.841,0.695,0.415,0.001,4.26e-05,0.189,0.408,-5.625,173.368,1
"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",3.7913,Generation Now/Atlantic,Minor,4,11.0,0.904,0.723,0.26,0.0631,0.0,0.185,0.835,-5.224,145.013,1
Taylor Swift,mirrorball,3.4829666666666665,Taylor Swift,Major,4,2.0,0.553,0.413,0.0334,0.687,2.33e-06,0.0594,0.379,-10.037,110.107,0
"YG, 2 Chainz, Big Sean, Nicki Minaj","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",3.954,Def Jam Recordings,Major,4,1.0,0.745,0.346,0.331,0.00552,0.0,0.0881,0.112,-7.709,203.911,1
"Kygo, Justin Jesso",Stargazing,3.94755,Kygo,Major,4,5.0,0.677,0.497,0.0809,0.152,0.0,0.0911,0.419,-5.763,99.137,0
Thomas Rhett,Unforgettable,2.618,The Valory Music Co.,Major,4,7.0,0.66,0.745,0.0307,0.0294,0.0002,0.0831,0.828,-5.499,130.074,1
Kanye West,Praise God,3.77755,Rock The World/IDJ/Kanye LP7,Major,4,1.0,0.798,0.545,0.168,0.00904,9.48e-05,0.258,0.212,-6.466,118.029,0
Chris Rea,Driving Home for Christmas,3.9991166666666667,Rhino,Major,4,9.0,0.603,0.705,0.0328,0.556,0.000123,0.342,0.89,-7.547,90.12,0
Mabel,Mad Love,2.830216666666667,Polydor Records,Minor,4,0.0,0.622,0.796,0.172,0.667,0.0,0.106,0.62,-2.999,197.705,1
"Francesca Michielin, Fedez",CHIAMAMI PER NOME,3.711116666666667,RCA Records Label,Major,4,10.0,0.641,0.636,0.0414,0.289,0.0,0.125,0.285,-4.318,89.826,0
"Snakehips, MØ",Don't Leave,3.5782166666666666,Hoffman West/Columbia,Major,4,1.0,0.657,0.703,0.0753,0.222,0.0,0.256,0.338,-3.402,122.381,0
"Ice Spice, Nicki Minaj",Princess Diana (with Nicki Minaj),2.86875,10K Projects/Capitol Records,Major,4,9.0,0.898,0.676,0.187,0.14,0.0,0.101,0.742,-5.196,147.991,1
NewJeans,Hype Boy,2.9837833333333332,ADOR,Minor,4,4.0,0.593,0.935,0.225,0.268,0.0,0.286,0.783,-3.43,99.976,0
"Travis Scott, Kid Cudi",LOOOVE (feat. Kid Cudi),3.778583333333333,Cactus Jack/Epic,Major,4,3.0,0.678,0.739,0.044,0.0712,0.0,0.388,0.108,-4.358,110.967,0
Harry Nach,Tak Tiki Tak,3.5401,Sony Music Entertainment Chile S.A,Minor,4,11.0,0.802,0.579,0.0869,0.335,0.000311,0.173,0.234,-4.78,99.992,0
"Bizarrap, Milo j",No soy Eterno,2.5483833333333332,DALE PLAY Records,Minor,4,2.0,0.564,0.402,0.329,0.44,6.25e-05,0.308,0.628,-6.488,121.45,0
"Juice WRLD, Marshmello, The Kid LAROI, Polo G",Hate The Other Side (with Marshmello & The Kid Laroi),2.6702,Grade A Productions/Interscope Records,Major,4,6.0,0.701,0.65,0.104,0.291,0.0,0.112,0.647,-6.313,90.003,0
Ed Sheeran,Galway Girl,2.8471166666666665,Atlantic Records UK,Major,4,9.0,0.624,0.876,0.1,0.0735,0.0,0.327,0.781,-3.374,99.943,0
"Ed Sheeran, Elton John",Merry Christmas,3.4757833333333332,Atlantic Records UK,Major,4,0.0,0.594,0.935,0.0357,0.243,2.36e-06,0.102,0.602,-2.018,113.99,0
"Cashmere Cat, Major Lazer, Tory Lanez",Miss You (with Major Lazer & Tory Lanez),3.10385,Benny Blanco Major,Major,4,1.0,0.753,0.646,0.0973,0.231,0.0012,0.0961,0.438,-4.564,100.0,0
"Calvin Harris, Rihanna",This Is What You Came For,3.7026666666666666,Columbia,Minor,4,9.0,0.631,0.927,0.0332,0.199,0.119,0.148,0.465,-2.787,123.962,1
"Majestic, Boney M.",Rasputin,3.1035,NITRON music,Minor,4,6.0,0.758,0.913,0.113,0.00364,6.92e-05,0.193,0.658,-2.926,128.04,0
"DJ Khaled, Travis Scott, Post Malone",Celebrate (feat. Travis Scott & Post Malone),3.44165,Epic/We The Best,Minor,4,9.0,0.362,0.714,0.0835,0.269,0.0,0.21,0.309,-3.07,67.4,0
Arctic Monkeys,Star Treatment,5.910666666666667,Domino Recording Co,Minor,4,7.0,0.581,0.767,0.0527,0.243,0.00131,0.141,0.673,-5.026,120.07,0
Childish Gambino,This Is America,3.7628833333333334,Wolf+Rothstein/RCA Records,Major,4,5.0,0.854,0.463,0.137,0.117,0.0,0.354,0.549,-6.159,120.024,0
Drake,In My Feelings,3.632216666666667,Cash Money/Drake LP6,Major,4,8.0,0.735,0.482,0.139,0.00623,0.0144,0.448,0.315,-9.445,181.995,1
"J Balvin, Ed Sheeran",Sigue,2.65645,Universal Music Latino / Asylum Records UK,Major,4,7.0,0.889,0.641,0.0668,0.0515,2.75e-05,0.19,0.588,-4.494,87.99,0
"Tiësto, KAROL G",Don't Be Shy,2.341666666666667,Atlantic Records,Minor,4,11.0,0.77,0.787,0.0583,0.198,0.0,0.262,0.513,-3.748,119.986,0
"Alan Walker, Ava Max","Alone, Pt. II",2.9842166666666667,Kreatell Music,Minor,4,3.0,0.67,0.668,0.0422,0.536,0.0,0.133,0.608,-4.306,88.033,0
BLACKPINK,Tally,3.0708,YG Entertainment/Interscope Records,Major,4,2.0,0.688,0.637,0.031,0.00777,0.0,0.13,0.427,-4.85,129.902,0
Mariah Carey,All I Want for Christmas Is You,4.01845,Columbia,Major,4,7.0,0.336,0.627,0.0384,0.164,0.0,0.0708,0.35,-7.463,150.273,1
"Lil Peep, Lil Tracy",Awful Things,3.5737833333333335,Lil Peep,Minor,4,1.0,0.368,0.796,0.0823,0.0157,0.0,0.0694,0.181,-4.923,170.033,1
J. Cole,Photograph,3.6492333333333336,J. Cole P&D,Major,3,1.0,0.691,0.487,0.268,0.0299,0.0,0.0868,0.358,-6.416,104.98,0
Pop Smoke,Yea Yea,3.0967333333333333,Victor Victor Worldwide,Minor,4,5.0,0.717,0.474,0.403,0.0509,0.0,0.139,0.448,-8.383,123.906,0
"Travis Scott, Young Thug",SKITZO (feat. Young Thug),6.109883333333333,Cactus Jack/Epic,Minor,4,5.0,0.472,0.551,0.25,0.103,0.0,0.345,0.347,-7.219,83.25,0
"Gunna, Lil Baby",25k jacket (feat. Lil Baby),2.0,300 Entertainment,Minor,4,5.0,0.903,0.537,0.283,0.16,0.0,0.129,0.737,-6.854,115.013,0
Taylor Swift,Lover,3.68845,Taylor Swift,Major,4,7.0,0.359,0.543,0.0915,0.492,1.57e-05,0.118,0.453,-7.582,68.504,0
24kGoldn,VALENTINO,2.98555,Records/Columbia,Minor,4,9.0,0.744,0.718,0.181,0.197,0.0,0.134,0.549,-4.853,151.098,1
Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",3.5155833333333333,Wreck It Ralph 2 ST (KIK / ISR / Disney) PS,Major,4,6.0,0.634,0.653,0.032,0.000452,0.000987,0.115,0.26,-7.515,90.012,0
"UMI, V",wherever u r (ft. V of BTS),2.5505833333333334,UMI Inc under exclusive license to Unitedmasters LLC,Major,3,8.0,0.642,0.434,0.0558,0.78,3.01e-06,0.109,0.484,-9.178,104.846,0
Lana Del Rey,Doin' Time,3.366616666666667,Polydor Records,Minor,4,7.0,0.621,0.692,0.0435,0.336,0.000458,0.0877,0.446,-5.837,144.968,1
"Peso Pluma, Natanael Cano",PRC,3.0677666666666665,Double P Records,Minor,3,7.0,0.784,0.826,0.0538,0.0965,7.09e-05,0.123,0.893,-6.34,138.078,1
"TINI, Maria Becerra",Miénteme,2.754583333333333,Sony Music Latin,Major,4,2.0,0.85,0.541,0.0674,0.161,5.01e-06,0.286,0.916,-4.522,92.003,0
"Jowell & Randy, J Balvin",Anaranjado,3.533516666666667,Rimas Entertainment LLC.,Major,4,8.0,0.763,0.58,0.144,0.0466,1.6e-05,0.154,0.608,-6.196,175.937,1
Paul Russell,Lil Boo Thang,1.9039,Arista Records,Major,4,0.0,0.85,0.699,0.0776,0.152,0.0,0.32,0.915,-3.292,114.481,0
Noah Kahan,Dial Drunk,3.563616666666667,Mercury Records/Republic Records,Major,4,8.0,0.693,0.595,0.0311,0.0969,0.0,0.113,0.646,-7.578,112.02,0
Eminem,Arose,4.577116666666667,Aftermath,Minor,4,4.0,0.612,0.904,0.429,0.182,0.0,0.17,0.555,-6.076,75.801,0
Taylor Swift,Shake It Off,3.6533333333333333,"Big Machine Records, LLC",Major,4,7.0,0.647,0.8,0.165,0.0647,0.0,0.334,0.942,-5.384,160.078,1
Avicii,The Nights,2.9443,Universal Music AB,Major,4,6.0,0.527,0.835,0.0433,0.0166,0.0,0.249,0.654,-5.298,125.983,1
DaBaby,Ball If I Want To,1.8757833333333334,South Coast Music Group/Interscope Records,Major,4,1.0,0.902,0.669,0.457,0.161,0.0,0.0728,0.628,-5.049,139.949,0
"Capital Bra, Ufo361",Neymar,4.394116666666666,Bra Musik,Major,4,7.0,0.749,0.66,0.241,0.558,0.0,0.133,0.542,-6.143,123.96,0
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),2.8966666666666665,Benny Blanco Solo Album PS,Minor,4,6.0,0.56,0.68,0.321,0.555,0.0,0.116,0.319,-7.648,89.391,0
"Zedd, Alessia Cara",Stay,3.501516666666667,UMGRI Interscope,Minor,4,5.0,0.679,0.634,0.0654,0.232,0.0,0.115,0.498,-5.024,102.013,0
Ozuna,Hasta Que Salga el Sol,3.1413333333333333,Aura Music Corp.,Minor,4,1.0,0.826,0.816,0.0683,0.0201,0.000939,0.127,0.598,-4.608,96.042,0
"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),3.7380833333333334,Atlantic/KSR,Major,4,1.0,0.908,0.524,0.181,0.00111,0.000678,0.383,0.109,-7.955,138.015,0
"KAROL G, Nicki Minaj",Tusa,3.3653333333333335,UMLE - Latino,Major,4,2.0,0.799,0.701,0.282,0.309,7.36e-05,0.0514,0.607,-3.272,100.946,0
"Sfera Ebbasta, Quavo",Cupido (feat. Quavo),3.5017833333333335,Universal Music Italia srL.,Minor,4,4.0,0.803,0.695,0.0413,0.0622,0.0,0.105,0.458,-5.164,119.978,0
d4vd,Here With Me,4.041416666666667,Darkroom/Interscope Records,Major,4,4.0,0.574,0.469,0.0254,0.534,9.21e-05,0.128,0.288,-8.209,132.023,1
"Famous Dex, A$AP Rocky",PICK IT UP (feat. A$AP Rocky),3.1875333333333336,300 Entertainment,Major,4,1.0,0.921,0.467,0.119,0.0149,0.000238,0.334,0.287,-8.443,135.995,0
"Conkarah, Shaggy, DJ Fle",Banana (feat. Shaggy) (DJ FLe Minisiren Remix),3.5054833333333333,S-Curve Records,Major,4,8.0,0.824,0.854,0.177,0.016,4.95e-05,0.117,0.896,-5.312,95.114,0
"Lil Wayne, Kendrick Lamar",Mona Lisa (feat. Kendrick Lamar),5.40315,"Young Money Records, Inc.",Major,4,2.0,0.856,0.694,0.169,0.371,0.0,0.109,0.489,-4.393,122.08,0
TREASURE,DARARI,3.6786,YG Entertainment,Major,4,0.0,0.716,0.638,0.0392,0.486,0.0,0.0702,0.552,-6.87,84.955,0
"The Chainsmokers, Jhené Aiko",Wake Up Alone,3.5953333333333335,Disruptor Records/Columbia,Minor,4,9.0,0.643,0.52,0.0334,0.0102,0.0,0.11,0.23,-5.968,75.168,0
Bonez MC,Shotz Fired,2.9974,187 Strassenbande,Major,4,0.0,0.839,0.594,0.139,0.249,0.0264,0.165,0.58,-9.087,76.007,0
Lorde,Supercut,4.6251,Universal Music New Zealand Limited,Major,4,0.0,0.587,0.442,0.0506,0.225,2.72e-05,0.0801,0.158,-10.395,124.881,0
JVKE,golden hour,3.4876666666666667,JVKE,Minor,3,1.0,0.511,0.594,0.0316,0.651,0.177,0.249,0.143,-4.799,94.473,0
"Post Malone, 21 Savage",rockstar (feat. 21 Savage),3.6357833333333334,Republic Records,Minor,4,5.0,0.585,0.52,0.0712,0.124,7.01e-05,0.131,0.129,-6.136,159.801,1
Lil Nas X,THATS WHAT I WANT,2.39835,Columbia,Minor,4,1.0,0.737,0.846,0.22,0.00614,0.0,0.0486,0.546,-4.51,87.981,0
Jung Kook,Still With You,3.9984333333333333,BIGHIT MUSIC,Minor,4,1.0,0.529,0.469,0.0358,0.0899,1.53e-05,0.831,0.344,-6.967,87.864,0
"Rich The Kid, Kendrick Lamar",New Freezer (feat. Kendrick Lamar),3.1989666666666667,Rich The Kid / (TDE/ISR PS),Major,4,0.0,0.884,0.698,0.364,0.0405,0.0,0.195,0.575,-9.101,140.068,0
Natalie Taylor,Surrender,3.0517166666666666,Columbia,Minor,5,5.0,0.39,0.448,0.0276,0.8,0.182,0.107,0.077,-8.57,144.89,1
"Justin Quiles, Daddy Yankee, El Alfa",PAM,3.35,WEA Latina,Major,4,11.0,0.889,0.863,0.0757,0.289,0.000603,0.0798,0.776,-3.011,112.953,0
BTS,Jamais Vu,3.787916666666667,BIGHIT MUSIC,Major,4,8.0,0.608,0.47,0.0428,0.226,0.0,0.0963,0.241,-6.73,81.0,0
Oliver Tree,Life Goes On,2.6967166666666667,Atlantic Records,Major,4,0.0,0.7,0.49,0.076,0.186,0.0,0.117,0.569,-5.187,79.982,0
Eminem,Normal,3.70795,Aftermath,Major,4,6.0,0.907,0.64,0.354,0.261,0.0,0.0785,0.803,-6.542,120.995,0
"Polo G, Lil Wayne",GANG GANG (with Lil Wayne),2.9796,Columbia,Minor,4,3.0,0.752,0.563,0.209,0.146,0.0,0.103,0.551,-8.066,145.05,1
TOMORROW X TOGETHER,Tinnitus (Wanna be a rock),2.6210333333333335,Republic Records - TXT,Minor,4,5.0,0.9,0.725,0.135,0.179,0.00101,0.0791,0.791,-6.213,100.015,0
"Joji, Lil Yachty",Pretty Boy (feat. Lil Yachty),2.61265,88rising Music,Major,4,6.0,0.656,0.776,0.0672,0.16,0.378,0.372,0.638,-6.184,156.049,1
"DENNIS, MC Kevin o Chris",Tá OK,1.5348833333333334,Sony Music Entertainment,Major,4,11.0,0.863,0.96,0.0492,0.497,0.00526,0.0853,0.586,-1.458,130.118,0
"Big Sean, Metro Boomin, Kash Doll",So Good (& Metro Boomin),4.478666666666666,Republic/MB/Big Sean,Minor,4,8.0,0.619,0.404,0.441,0.0144,0.0,0.115,0.566,-8.333,90.008,0
Kendrick Lamar,N95,3.265833333333333,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,Major,4,1.0,0.79,0.67,0.105,0.377,2.32e-06,0.119,0.408,-5.527,139.956,1
"Post Malone, Roddy Ricch, Tyga",Wow. - Remix,2.834216666666667,Republic Records,Minor,4,11.0,0.797,0.64,0.194,0.148,0.0,0.209,0.486,-6.272,100.002,0
"J Balvin, Bad Bunny",LA CANCIÓN,4.042883333333333,Universal Music Latino / Rimas,Major,4,7.0,0.754,0.646,0.317,0.152,1.85e-05,0.108,0.429,-5.795,176.089,1
"Major Lazer, PARTYNEXTDOOR, Nicki Minaj",Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),3.3863333333333334,Third Pardee Records,Minor,4,1.0,0.803,0.743,0.0681,0.105,2.12e-06,0.099,0.674,-3.602,108.005,0
"Bad Bunny, Kendo Kaponi, Arcángel",P FKN R,4.304666666666667,Rimas Entertainment LLC,Minor,4,5.0,0.82,0.635,0.0772,0.409,0.0,0.244,0.528,-5.749,101.024,0
Sam Smith,I'm Not The Only One,3.9886166666666667,Capitol,Major,4,5.0,0.453,0.496,0.0453,0.554,2.65e-05,0.0772,0.501,-5.785,80.994,0
"Tyler, The Creator",NEW MAGIC WAND,3.255333333333333,Columbia,Minor,4,5.0,0.621,0.73,0.107,0.0967,0.000131,0.673,0.464,-5.414,139.566,1
"21 Savage, Lil Durk, Metro Boomin",dangerous,4.42175,"Slaughter Gang, LLC/Epic Records",Minor,4,5.0,0.755,0.835,0.277,0.0635,0.0,0.151,0.575,-4.68,151.953,1
DaBaby,VIBEZ,2.415583333333333,South Coast Music Group/Interscope Records,Minor,4,1.0,0.768,0.652,0.307,0.113,0.0,0.107,0.777,-2.708,154.187,1
"DJ Khaled, Drake, Lil Baby",STAYING ALIVE (feat. Drake & Lil Baby),2.9696,Epic/We The Best,Minor,4,4.0,0.718,0.461,0.0797,0.068,0.0,0.283,0.181,-7.676,129.953,0
Rich The Kid,Plug Walk,2.9251833333333335,Rich The Kid / (TDE/ISR PS),Major,4,11.0,0.882,0.503,0.179,0.224,0.0,0.108,0.176,-6.618,95.011,0
"Lil Yachty, Tierra Whack, A$AP Rocky, Tyler, The Creator","T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",3.88065,Quality Control Music/Motown Records,Minor,4,10.0,0.784,0.632,0.347,0.156,0.0,0.605,0.746,-6.083,124.603,0
"Camilo, Evaluna Montaner",Por Primera Vez,3.0591166666666667,Sony Music Latin,Major,4,1.0,0.716,0.588,0.116,0.152,0.0,0.0847,0.707,-3.952,165.896,1
Post Malone,Mourning,2.46365,Mercury Records/Republic Records,Major,4,9.0,0.596,0.651,0.0331,0.0971,0.0,0.279,0.255,-4.604,73.959,0
Galantis,No Money,3.1521166666666667,Big Beat Records,Minor,4,6.0,0.671,0.916,0.0397,0.0282,0.00762,0.24,0.803,-4.014,126.01,1
Lorde,Green Light,3.9108833333333335,Universal Music New Zealand Limited,Major,4,9.0,0.616,0.714,0.0982,0.0162,1.23e-05,0.0817,0.24,-7.792,128.924,1
Rauw Alejandro,Sexo Virtual,3.4715333333333334,Sony Music Latin/Duars Entertainment,Major,4,8.0,0.704,0.739,0.112,0.328,1.93e-05,0.0856,0.425,-3.286,179.879,1
Adele,Easy On Me,3.7449166666666667,Columbia,Major,4,5.0,0.604,0.366,0.0282,0.578,0.0,0.133,0.13,-7.519,141.981,1
Nirvana,Smells Like Teen Spirit,5.014883333333334,Geffen,Major,4,1.0,0.489,0.918,0.0554,3.53e-05,7.64e-05,0.0908,0.691,-4.502,116.731,1
JIN,The Astronaut,4.707716666666666,BIGHIT MUSIC,Major,4,5.0,0.54,0.761,0.0311,0.00446,2.5e-06,0.137,0.215,-5.356,124.988,1
"Lil Skies, Gucci Mane",Bad Girls (feat. Gucci Mane),3.6610666666666667,All We Got Ent.,Minor,4,1.0,0.771,0.761,0.047,0.208,0.0,0.091,0.277,-4.727,131.01,0
"Tainy, Daddy Yankee, Feid, Sech",LA BABY,3.047616666666667,"NEON16, LLC",Major,4,0.0,0.75,0.83,0.0683,0.115,0.0,0.765,0.688,-3.544,104.937,0
"Post Malone, Meek Mill, Lil Baby",On The Road (feat. Meek Mill & Lil Baby),3.6386666666666665,Republic Records,Major,5,7.0,0.442,0.737,0.109,0.0589,0.0,0.102,0.21,-5.046,112.93,1
Travis Scott,HYAENA,3.701416666666667,Cactus Jack/Epic,Major,4,8.0,0.608,0.754,0.0719,0.0305,0.0,0.119,0.455,-5.277,97.071,0
Petit Biscuit,Sunset Lover,3.963216666666667,Petit Biscuit,Major,4,6.0,0.783,0.467,0.0503,0.729,0.809,0.109,0.236,-9.474,90.838,0
21 Savage,can't leave without it,3.4225333333333334,"Slaughter Gang, LLC/Epic Records",Minor,4,6.0,0.872,0.591,0.359,0.111,0.0,0.144,0.696,-6.952,131.982,0
Kep1er,WA DA DA,3.06155,"Genie Music Corporation, Stone Music Entertainment",Major,4,10.0,0.785,0.907,0.0938,0.00122,3.11e-06,0.213,0.685,-2.657,126.004,0
"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),3.665783333333333,Atlantic Records UK,Major,4,6.0,0.798,0.676,0.0442,0.0902,0.0,0.0894,0.843,-5.041,101.956,0
NF,When I Grow Up,3.28,NF Real Music,Major,4,2.0,0.817,0.814,0.185,0.32,0.0,0.152,0.247,-3.985,109.994,0
"JNR CHOI, Sam Tompkins",TO THE MOON,2.535616666666667,Jnr Choi/Epic,Major,4,2.0,0.744,0.648,0.35,0.045,0.00614,0.109,0.387,-11.819,144.036,1
Taylor Swift,Question...?,3.5092833333333333,Taylor Swift,Major,4,7.0,0.751,0.502,0.167,0.2,0.0,0.296,0.106,-8.763,108.943,0
Irama,Ovunque Sarai,3.3404833333333332,WM Italy,Major,4,0.0,0.359,0.434,0.0305,0.582,0.0,0.205,0.325,-6.068,79.133,0
Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS),3.04845,Kemosabe Records/RCA Records,Minor,4,8.0,0.801,0.601,0.255,0.0777,3.23e-05,0.145,0.74,-7.574,159.969,1
Bebe Rexha,Last Hurrah,2.50555,Warner Records,Minor,4,11.0,0.514,0.618,0.0317,0.175,0.0,0.117,0.401,-4.585,84.259,0
